,Source,Location,Latitude,Longitude,Speed_Max,Date,Description,Speed,Tempo,Distance,Duration,Start,Ascent,Descent,Elevation_Gain,Elevation_Max,Calories,Km_1,Km_2,Km_3,Km_4,Km_5,Km_6,Km_7,Km_8,Km_9,Km_10,Km_11,Km_12,Km_13,Km_14,Km_15,Km_16,Km_17,Km_18,Km_19
31,Nike+ 2.10.6  ,indoor,45.50287,-73.57770500000001,3.3337225,2012-04-11,Running 8.53 km in 48:55 min (5:44 min/km),2.904730349887264,05:44,8.525889,48.91956666666667,16:20:56,0.0,0.0,0.0,0.0,676.0,,,,,,,,,,,,,,,,,,,
32,Nike+ 2.10.6  ,indoor,45.50287,-73.57770500000001,3.219464166666667,2012-04-24,Running 8.75 km in 50:29 min (5:46 min/km),2.88955620636617,05:46,8.75259,50.48405,05:32:59,0.0,0.0,0.0,0.0,695.0,,,,,,,,,,,,,,,,,,,
33,Nike+ 2.10.6  ,"Leipzig, Germany",51.337430000000005,12.379081999999999,3.759999999999999,2012-05-08,Running 8.27 km in 49:16 min (5:58 min/km),2.796089535727516,05:57,8.265003,49.26525,05:50:24,253.1865919999998,285.1241620000002,205.0,146.0,654.0,"Duration=6.25, Speed=2.67","Duration=6.15, Speed=2.71","Duration=5.667, Speed=2.94","Duration=6.083, Speed=2.74","Duration=5.8, Speed=2.87","Duration=5.75, Speed=2.9","Duration=5.683, Speed=2.93","Duration=6.067, Speed=2.75","Duration=1.817, Speed=2.91",,,,,,,,,,
34,Nike+ 2.10.6  ,"Leipzig, Germany",51.337368000000005,12.349920999999998,4.67,2012-05-11,Running 3.13 km in 16:47 min (5:21 min/km),3.111132073036202,05:21,3.1332740000000006,16.785283333333332,15:34:52,106.52176399999998,132.99313399999997,90.0,121.0,250.0,"Duration=5.833, Speed=2.86","Duration=5.717, Speed=2.92","Duration=4.833, Speed=3.45","Duration=0.383, Speed=6.17",,,,,,,,,,,,,,,
35,Nike+ 2.10.6  ,"Leipzig, Germany",51.338467,12.388231000000001,18.89,2012-05-16,Running 2.26 km in 6:12 min (2:45 min/km),6.065516111883757,02:44,2.2591500000000004,6.207633333333334,06:21:12,279.2712700000001,395.83745999999996,278.0,242.0,190.0,"Duration=3.333, Speed=5","Duration=1.667, Speed=10","Duration=1.233, Speed=8.4",,,,,,,,,,,,,,,,
36,Nike+ 2.10.6  ,indoor,51.335308,12.371204,3.68,2012-05-16,Running 10.44 km in 1:01:25 hr (5:53 min/km),2.832101530948577,05:53,10.43547,61.41181666666667,06:32:49,292.35137000000003,308.22377000000023,220.0,142.0,825.0,"Duration=6.267, Speed=2.66","Duration=5.467, Speed=3.05","Duration=5.733, Speed=2.91","Duration=6.083, Speed=2.74","Duration=5.733, Speed=2.91","Duration=5.8, Speed=2.87","Duration=5.867, Speed=2.84","Duration=5.75, Speed=2.9","Duration=5.8, Speed=2.87","Duration=5.867, Speed=2.84","Duration=2.967, Speed=2.99",,,,,,,,
37,Nike+ 2.10.6  ,"Leipzig, Germany",51.337395,12.386087999999999,5.51,2012-05-22,Running 10.67 km in 59:21 min (5:34 min/km),2.996240662730613,05:33,10.67041,59.35443333333333,06:04:44,529.9531260000001,533.9360399999997,475.0,171.0,850.0,"Duration=5.983, Speed=2.79","Duration=6.267, Speed=2.66","Duration=6.333, Speed=2.63","Duration=5.633, Speed=2.96","Duration=4.433, Speed=3.76","Duration=6.133, Speed=2.72","Duration=6.183, Speed=2.7","Duration=3.533, Speed=4.72","Duration=5.617, Speed=2.97","Duration=5.35, Speed=3.12","Duration=3.817, Speed=2.71",,,,,,,,
38,Nike+ 2.10.6  ,indoor,51.337086,12.3862915,4.470000000000001,2012-05-28,Running 14.33 km in 1:23:59 hr (5:52 min/km),2.844546804051693,05:51,14.333329999999998,83.98133333333334,09:08:55,833.7932899999995,817.2350939999999,772.0,158.0,1128.0,"Duration=6.0, Speed=2.78","Duration=6.5, Speed=2.56","Duration=6.15, Speed=2.71","Duration=6.217, Speed=2.68","Duration=6.3, Speed=2.65","Duration=5.067, Speed=3.29","Duration=4.217, Speed=3.95","Duration=6.067, Speed=2.75","Duration=5.933, Speed=2.81","Duration=6.3, Speed=2.65","Duration=6.35, Speed=2.62","Duration=6.017, Speed=2.77","Duration=6.133, Speed=2.72","Duration=5.367, Speed=3.11","Duration=1.283, Speed=4.27",,,,
39,Nike+ 2.10.6  ,indoor,51.338165000000004,12.384621999999998,3.81,2012-06-04,Running 10.52 km in 59:18 min (5:38 min/km),2.956159107525392,05:38,10.51674,59.29281666666667,06:30:34,394.43801099999985,414.51906099999997,330.0,149.0,836.0,"Duration=5.217, Speed=3.19","Duration=5.85, Speed=2.85","Duration=5.6, Speed=2.98","Duration=5.617, Speed=2.97","Duration=5.717, Speed=2.92","Duration=5.667, Speed=2.94","Duration=5.417, Speed=3.08","Duration=5.533, Speed=3.01","Duration=5.983, Speed=2.79","Duration=5.417, Speed=3.08","Duration=3.2, Speed=2.93",,,,,,,,
40,Nike+ 2.10.6  ,"Leipzig, Germany",51.337720000000004,12.387698,10.02,2012-06-11,Running 11.58 km in 1:01:11 hr (5:17 min/km),3.154623831880072,05:16,11.581520000000001,61.18806666666667,07:30:09,641.9271429999995,608.6891279999999,586.0,204.0,927.0,"Duration=5.05, Speed=3.3","Duration=6.433, Speed=2.59","Duration=6.283, Speed=2.65","Duration=6.0, Speed=2.78","Duration=6.417, Speed=2.6","Duration=6.367, Speed=2.62","Duration=5.2, Speed=3.21","Duration=3.1, Speed=5.38","Duration=4.2, Speed=3.97","Duration=5.267, Speed=3.16","Duration=5.567, Speed=2.99","Duration=1.217, Speed=2.77",,,,,,,
41,Nike+ 2.10.6  ,"Leipzig, Germany",51.337013,12.385875000000002,4.37,2012-06-17,Running 18.17 km in 1:48:34 hr (5:59 min/km),2.789011500146218,05:58,18.16836,108.57108333333333,09:53:35,816.2024529999993,815.1983990000003,732.0,145.0,1427.0,"Duration=6.0, Speed=2.78","Duration=6.6, Speed=2.53","Duration=5.55, Speed=3.0","Duration=6.683, Speed=2.49","Duration=5.783, Speed=2.88","Duration=6.533, Speed=2.55","Duration=6.683, Speed=2.49","Duration=7.6, Speed=2.19","Duration=6.683, Speed=2.49","Duration=3.117, Speed=5.35","Duration=3.033, Speed=5.49","Duration=6.383, Speed=2.61","Duration=6.683, Speed=2.49","Duration=6.383, Speed=2.61","Duration=6.0, Speed=2.78","Duration=6.85, Speed=2.43","Duration=4.483, Speed=3.72","Duration=6.833, Speed=2.44","Duration=0.6, Speed=0.53"
42,Nike+ 2.10.6  ,"Leipzig, Germany",51.33889799999999,12.384020000000001,6.550000000000001,2012-06-27,Running 11.14 km in 1:02:45 hr (5:38 min/km),2.957386089012727,05:38,11.13599,62.758066666666664,06:48:37,593.7077710000001,586.4074569999998,531.0,185.0,885.0,"Duration=4.85, Speed=3.44","Duration=5.8, Speed=2.87","Duration=4.917, Speed=3.39","Duration=5.467, Speed=3.05","Duration=5.65, Speed=2.95","Duration=5.867, Speed=2.84","Duration=5.867, Speed=2.84","Duration=6.467, Speed=2.58","Duration=5.2, Speed=3.21","Duration=5.583, Speed=2.99","Duration=6.267, Speed=2.66","Duration=0.75, Speed=2.26",,,,,,,
43,Nike+ 2.10.6  ,"Leipzig, Germany",51.338294999999995,12.386218000000001,5.980000000000001,2012-07-02,Running 11.25 km in 1:03:32 hr (5:39 min/km),2.951518029552515,05:38,11.249770000000002,63.525333333333336,06:00:57,517.936356,592.3137860000006,454.0,189.0,889.0,"Duration=5.6, Speed=2.98","Duration=6.083, Speed=2.74","Duration=5.817, Speed=2.87","Duration=5.217, Speed=3.19","Duration=5.267, Speed=3.16","Duration=5.617, Speed=2.97","Duration=6.083, Speed=2.74","Duration=5.867, Speed=2.84","Duration=4.967, Speed=3.36","Duration=5.333, Speed=3.12","Duration=6.083, Speed=2.74","Duration=1.517, Speed=2.93",,,,,,,
44,Nike+ 2.10.6  ,"Sevilla, Spain",37.38162200000001,-5.980046700000001,5.41,2012-07-08,Running 10.38 km in 1:01:08 hr (5:53 min/km),2.829137059906605,05:53,10.37631,61.12765,07:59:45,672.2640113247004,678.1989003247003,633.0,216.0,819.0,"Duration=4.95, Speed=3.37","Duration=6.683, Speed=2.49","Duration=7.1, Speed=2.35","Duration=6.15, Speed=2.71","Duration=7.117, Speed=2.34","Duration=6.75, Speed=2.47","Duration=6.367, Speed=2.62","Duration=6.883, Speed=2.42","Duration=6.667, Speed=2.5","Duration=2.233, Speed=7.46","Duration=0.15, Speed=52.41",,,,,,,,
45,Nike+ 2.10.6  ,"Leipzig, Germany",51.337239999999994,12.386151999999997,4.8,2012-07-22,Running 8.15 km in 41:16 min (5:04 min/km),3.290192412148478,05:03,8.147158000000001,41.26991666666667,07:26:02,407.5519730000001,404.2512030000004,367.0,134.0,654.0,"Duration=5.367, Speed=3.11","Duration=5.767, Speed=2.89","Duration=5.233, Speed=3.18","Duration=5.383, Speed=3.1","Duration=5.633, Speed=2.96","Duration=5.5, Speed=3.03","Duration=4.183, Speed=3.98","Duration=3.933, Speed=4.24","Duration=0.2, Speed=9.68",,,,,,,,,,
46,Nike+ 2.10.6  ,indoor,51.337239999999994,12.386151999999997,3.204403888888889,2012-07-24,Running 5.31 km in 30:13 min (5:42 min/km),2.928170760086865,05:41,5.309939,30.2233,07:32:45,0.0,0.0,0.0,0.0,422.0,,,,,,,,,,,,,,,,,,,
47,Nike+ 2.10.6  ,"Leipzig, Germany",51.33720999999999,12.386611,4.03,2012-08-02,Running 3.59 km in 21:05 min (5:52 min/km),2.837566998672871,05:52,3.589911,21.085616666666667,07:36:40,179.109973,241.88001300000013,156.0,167.0,282.0,"Duration=5.383, Speed=3.1","Duration=6.0, Speed=2.78","Duration=6.017, Speed=2.77","Duration=3.617, Speed=2.8",,,,,,,,,,,,,,,
